,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Visibility (km),Autumn,Spring,Summer,Winter,coastal,inland,mountain,Weather Type Enc
0,14.0,73.0,9.5,82.0,1,1010.82,2,3.5,False,False,False,True,False,True,False,1
1,39.0,96.0,8.5,71.0,1,1011.43,7,10.0,False,True,False,False,False,True,False,0
2,30.0,64.0,7.0,16.0,0,1018.72,5,5.5,False,True,False,False,False,False,True,3
3,38.0,83.0,1.5,82.0,0,1026.25,7,1.0,False,True,False,False,True,False,False,3
4,27.0,74.0,17.0,66.0,3,990.67,1,2.5,False,False,False,True,False,False,True,1
5,32.0,55.0,3.5,26.0,3,1010.03,2,5.0,False,False,True,False,False,True,False,0
6,-2.0,97.0,8.0,86.0,3,990.87,1,4.0,False,False,False,True,False,True,False,2
7,3.0,85.0,6.0,96.0,1,984.46,1,3.5,False,False,False,True,False,True,False,2
8,3.0,83.0,6.0,66.0,3,999.44,0,1.0,False,False,False,True,False,False,True,2
9,28.0,74.0,8.5,107.0,0,1012.13,8,7.5,False,False,False,True,True,False,False,3
10,35.0,45.0,6.0,86.0,1,879.88,2,1.0,False,True,False,False,False,False,True,0
11,38.0,43.0,2.0,16.0,0,1029.16,11,7.5,True,False,False,False,False,True,False,3
12,12.0,59.0,10.5,25.0,1,1016.08,3,5.5,True,False,False,False,False,False,True,0
13,-10.0,87.0,15.0,67.0,3,986.19,0,1.5,False,False,False,True,False,True,False,2
14,24.0,21.0,3.5,8.0,0,1018.88,8,5.5,False,False,False,True,True,False,False,3
15,10.0,50.0,6.5,46.0,1,1000.44,2,8.5,False,False,True,False,False,False,True,0
16,30.0,27.0,7.0,13.0,1,1016.38,5,7.5,False,True,False,False,False,True,False,3
17,33.0,51.0,0.5,27.0,3,1009.18,3,5.5,True,False,False,False,True,False,False,0
18,43.0,46.0,0.5,15.0,0,1025.8,9,6.0,False,True,False,False,False,False,True,3
19,13.0,102.0,12.0,72.0,0,1012.25,4,8.0,False,False,True,False,False,True,False,3
20,-10.0,67.0,8.5,75.0,3,991.53,1,3.0,False,False,False,True,False,False,True,2
21,-7.0,88.0,12.5,98.0,3,980.31,1,3.0,False,False,False,True,False,True,False,2
22,33.0,36.0,7.5,18.0,0,1014.29,8,9.5,False,False,True,False,False,False,True,3
23,26.0,73.0,13.5,29.0,3,1012.02,1,9.0,False,False,True,False,False,True,False,0
